code,code/_text,code/_title,name,longitude,latitude,elevation
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ALM,ALM,,LAKE ALMANOR,-121.173,40.218,4600
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ANT,ANT,,ANTELOPE LAKE,-120.607,40.18,4960
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=APN,APN,,ALPINE LAKE,-122.637,37.94,654
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AST,AST,,AUSTRIAN,-121.93,37.132,1125
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ATN,ATN,,LAKE SAN ANTONIO,-120.883,35.798,779
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BAR,BAR,,BEAR,-120.217,37.367,319
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BCL,BCL,,BUCKS LAKE STORAGE,-121.202,39.897,5168
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BDP,BDP,,BRIDGEPORT RESERVOIR,-119.211,38.325,6466
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BER,BER,,BERRYESSA,-122.104,38.513,456
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BHC,BHC,,BRUSH CREEK (SMUD),-120.62,38.805,2923
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BIL,BIL,,BUCK ISLAND LAKE,-120.25,39.001,6400
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BIO,BIO,,BRIONES DAM,-122.2,37.9,588
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BIT,BIT,,LAKE BRITTON,-121.676,41.022,2744
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BLB,BLB,,BLACK BUTTE,-122.329,39.808,426
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BMP,BMP,,BON TEMPE,-122.61,37.957,723
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BOC,BOC,,BOCA RESERVOIR,-120.1,39.383,5521
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BQC,BQC,,BOUQUET CANYON,-118.5,34.54,3008
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BRD,BRD,,BEARDSLEY LAKE,-120.075,38.203,3398
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BRT,BRT,,BARRETT,-116.669,32.678,1607
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BRV,BRV,,BEAR VALLEY DAM,-116.978,34.242,6743
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BTH,BTH,,BETHANY FOREBAY,-121.617,37.785,250
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BTV,BTV,,BUTT VALLEY,-121.186,40.187,4144
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BUC,BUC,,BUCHANAN DAM,-119.97,37.213,450
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BUL,BUL,,NEW BULLARDS BAR,-121.14,39.393,1965
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BUR,BUR,,BURNS CREEK DAM,-120.275,37.377,319
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BUX,BUX,,NEW BULLARDS BAR AUX,-121.14,39.393,1965
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BWN,BWN,,BOWMAN LAKE,-120.652,39.45,5566
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BWS,BWS,,LAKE SPAULDING S YUBA SYSTEM,-120.658,39.441,5390
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CAS,CAS,,CASTAIC,-118.6101,34.5152,1535
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CCH,CCH,,CACHUMA LAKE,-119.98,34.583,781
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CFW,CFW,,BEAR RIVER AT CAMP FAR WEST DAM,-121.317,39.05,260
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CGS,CGS,,COGSWELL RESERVOIR,-117.965,34.245,2405
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CHB,CHB,,CHABOT,-122.122,37.73,250
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CHV,CHV,,CHERRY VALLEY DAM,-119.917,37.967,4765
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CHY,CHY,,CHERRY LAKE,-119.913,37.976,4715
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CKL,CKL,,CLEAR LAKE AT LAKEPORT,-122.912,39.039,1318
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CLA,CLA,,CLEAR LK - CACHE CREEK,-122.642,38.957,1336
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CLE,CLE,,TRINITY LAKE,-122.762,40.801,2370
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CLK,CLK,,CLEAR LK - KLAMATH R,-121.075,41.927,4552
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CMB,CMB,,COMBIE LAKE,-121.05,39.017,1610
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CMI,CMI,,CAMINO,-120.533,38.833,3000
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CMN,CMN,,CAMANCHE RESERVOIR,-121.021,38.225,236
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CNV,CNV,,CRANE VALLEY,-119.517,37.283,3380
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=COY,COY,,COYOTE (LAKE MENDOCINO),-123.186,39.197,720
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CPL,CPL,,CAPLES LAKE (PG&E),-120.048,38.707,7800
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CRW,CRW,,LAKE CROWLEY,-118.707,37.604,6797
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CRY,CRY,,LOWER CRYSTAL SPRINGS RESERVOIR,-122.36,37.53,293
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CSI,CSI,,CASITAS,-119.332,34.373,335
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CTG,CTG,,COURTRIGHT (PG&E),-118.967,37.072,8192
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CUY,CUY,,CUYAMACA DAM,-116.587,32.99,4641
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CVE,CVE,,CALAVERAS,-121.818,37.492,775
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CYC,CYC,,COYOTE RES-STA CLARA,-121.549,37.118,755
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CYL,CYL,,CHERRY LAKE NR HETCH HETCHY (USGS),-119.913,37.976,4715
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=DAV,DAV,,LAKE DAVIS (DWR),-120.467,39.883,5768
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=DLV,DLV,,DEL VALLE,-121.745,37.614,703
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=DMV,DMV,,DIAMOND VALLEY,-117.066,33.67,1756
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=DNL,DNL,,DONNER LAKE (STORAGE),-120.233,39.324,5938
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=DNN,DNN,,DONNER LAKE (DWR),-120.25,39.333,5945
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=DNP,DNP,,DON PEDRO RESERVOIR,-120.421,37.702,830
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=DON,DON,,DONNELLS,-119.96,38.329,4835
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=DRE,DRE,,DWINNELL RESERVOIR NEAR EDGEWOOD,-122.37455,41.54089,2805
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=DWN,DWN,,DWINNELL,-122.376,41.541,2792
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ECO,ECO,,ECHO LAKE,-120.037,38.831,7420
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=EDN,EDN,,STUMPY MEADOWS RESERVOIR(MARK EDSON DAM),-120.603,38.903,4272
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ELC,ELC,,EL CAPITAN DAM,-116.808,32.882,600
