ID,Latitude,Longitude,Station Name
5SI,37.74000,-119.58300,5 STATION PRECIPITATION INDEX
6SI,36.28800,-118.70200,TULARE PRECIPITATION INDEX
8SI,39.90000,-120.90000,8 STATION PRECIP INDEX
ADR,38.88200,-121.04500,AUBURN DAM RIDGE
ADS,39.65000,-122.72500,ALDER SPRINGS NEAR ELK CREEK
AGW,37.15100,-119.50500,A.G. WISHON (PG&E)
ALY,39.47000,-120.87500,ALLEGHANY
ANG,38.57120,-122.43320,ANGWIN
ANT,40.18000,-120.60700,ANTELOPE LAKE
API,32.83400,-116.73900,ALPINE
ARS,34.18400,-117.26400,ARROWHEAD SPRINGS HOTEL
ARW,38.59600,-121.41300,ARDEN WAY
ARY,36.23000,-121.48800,ARROYO SECO
ATL,38.43300,-122.25000,ATLAS PEAK
ATW,36.46400,-118.63100,ATWELL CAMP
BAL,36.90900,-119.08900,BALCH PH (PG&E)
BAP,37.83060,-121.62250,BYRON AIRPORT
BCH,36.12609,-118.29346,BEACH MEADOWS
BDD,34.17000,-117.80800,BIG DALTON DAM
BDM,37.06700,-119.40000,BALD MOUNTAIN (USBR)
BDY,40.61700,-122.56700,BRANDY CREEK
BFK,35.43400,-119.05400,BAKERSFIELD AIRPORT
BFL,41.08000,-122.94200,BIG FLAT
BGR,39.38073,-121.38625,BANGOR
BGV,40.47400,-123.79200,BRIDGEVILLE
BIM,36.71537,-118.84343,BIG MEADOWS (DWR)
BKL,39.85000,-121.24200,BUCKS LAKE
BLA,40.76984,-121.19972,BLACKS MOUNTAIN
BLC,39.27610,-120.70810,BLUE CANYON
BLD,38.45000,-120.03300,BLOODS CREEK
BLM,35.39500,-120.35300,BLACK MOUNTAIN
BLS,38.37500,-120.19200,BLACK SPRINGS
BNK,41.08300,-122.62800,BONANZA KING
BNY,34.20800,-116.62170,BURNS CANYON
BOL,39.44810,-120.65360,BOWMAN LAKE
BPT,38.27200,-119.28900,BRIDGEPORT
BRA,35.93024,-120.86879,SALINAS RIVER NEAR BRADLEY
BRE,39.13300,-120.95300,BEAR R AT ROLLINS RESERVOIR
BRM,36.67600,-118.85800,BEAR TRAP MEADOW
BRS,39.69200,-121.33900,BRUSH CREEK (DWR)
BUD,39.39630,-121.14390,BULLARDS BAR
BUP,39.91700,-121.33300,BUCKS CREEK POWERHOUSE
CAG,34.15000,-116.97800,CAMP ANGELUS
CAM,39.45100,-121.04900,CAMPTONVILLE (DWR)
CAP,38.71000,-120.04200,CAPLES LAKE
CAU,32.97400,-115.17400,CAHUILLA
CBT,36.56368,-118.34795,CRABTREE MEADOW
CCE,40.60300,-121.85300,COW CREEK (USBR)
CFR,41.08300,-122.71700,COFFEE RIDGE
CFW,39.05000,-121.31700,BEAR RIVER AT CAMP FAR WEST DAM
CGR,36.78800,-118.65900,CEDAR GROVE
CGT,39.33080,-121.19000,COLGATE PH
CHE,34.18470,-118.71720,CHEESEBORO
CHI,39.71200,-121.78300,CHICO
CHM,37.41000,-119.49000,CHILKOOT MEADOW
