ID,Latitude,Longitude,Station Name
BAR,37.36700,-120.21700,BEAR
BER,38.51300,-122.10400,BERRYESSA
BLB,39.80800,-122.32900,BLACK BUTTE
BRD,38.20300,-120.07500,BEARDSLEY LAKE
BUC,37.21300,-119.97000,BUCHANAN DAM
BUR,37.37700,-120.27500,BURNS CREEK DAM
CCH,34.58300,-119.98000,CACHUMA LAKE
CHV,37.96700,-119.91700,CHERRY VALLEY DAM
CLE,40.80100,-122.76200,TRINITY LAKE
CMN,38.22500,-121.02100,CAMANCHE RESERVOIR
COY,39.19700,-123.18600,COYOTE (LAKE MENDOCINO)
DNP,37.70200,-120.42100,DON PEDRO RESERVOIR
DON,38.32900,-119.96000,DONNELLS
DTO,38.05900,-122.02500,DELTA OUTFLOW
ENG,39.23900,-121.26700,ENGLEBRIGHT (USACE)
EXC,37.58500,-120.27000,NEW EXCHEQUER-LK MCCLURE
FOL,38.68300,-121.18300,FOLSOM LAKE
FRM,37.91500,-120.93500,FARMINGTON (SPILL ELEV 156.5 FT)
HID,37.20000,-119.91700,HIDDEN DAM (HENSLEY)
HTH,37.95000,-119.78300,HETCH HETCHY
INV,39.08300,-122.53300,INDIAN VALLEY
ISB,35.64600,-118.47300,ISABELLA DAM
KES,40.60100,-122.44300,KESWICK RESERVOIR
KLL,39.53300,-121.48300,KELLY RIDGE POWER PLANT
LEW,40.72700,-122.79300,LEWISTON
MAR,37.29200,-120.14700,MARIPOSA CREEK DAM
MIL,37.00100,-119.70500,FRIANT DAM (MILLERTON)
NAT,38.65000,-121.18300,LAKE NATOMA  (NIMBUS DAM)
NHG,38.15200,-120.81200,NEW HOGAN LAKE
NML,37.94810,-120.52500,NEW MELONES RESERVOIR
ORO,39.54000,-121.49300,OROVILLE DAM
OWN,37.28200,-120.18700,OWENS CREEK DAM
PAR,38.25000,-120.85000,PARDEE
PNF,36.83300,-119.32500,PINE FLAT DAM
SCC,36.06100,-118.92200,SUCCESS DAM
SHA,40.71800,-122.42000,SHASTA DAM  (USBR)
SPC,40.62900,-122.47400,SPRING CREEK DEBRIS DAM
TRM,36.41500,-119.00200,TERMINUS DAM
TUL,37.87500,-120.60300,TULLOCH
WHI,40.59800,-122.53700,WHISKEYTOWN DAM (USBR)
WRS,38.72300,-123.01000,WARM SPRINGS (USACE)
