ID,Latitude,Longitude,Station Name
ALM,40.21800,-121.17300,LAKE ALMANOR
ANT,40.18000,-120.60700,ANTELOPE LAKE
APN,37.94000,-122.63700,ALPINE LAKE
AST,37.13200,-121.93000,AUSTRIAN
ATN,35.79800,-120.88300,LAKE SAN ANTONIO
BAR,37.36700,-120.21700,BEAR
BCL,39.89700,-121.20200,BUCKS LAKE STORAGE
BDP,38.32500,-119.21100,BRIDGEPORT RESERVOIR
BER,38.51300,-122.10400,BERRYESSA
BHC,38.80500,-120.62000,BRUSH CREEK (SMUD)
BIL,39.00100,-120.25000,BUCK ISLAND LAKE
BIO,37.90000,-122.20000,BRIONES DAM
BIT,41.02200,-121.67600,LAKE BRITTON
BLB,39.80800,-122.32900,BLACK BUTTE
BMP,37.95700,-122.61000,BON TEMPE
BOC,39.38300,-120.10000,BOCA RESERVOIR
BQC,34.54000,-118.50000,BOUQUET CANYON
BRD,38.20300,-120.07500,BEARDSLEY LAKE
BRT,32.67800,-116.66900,BARRETT
BRV,34.24200,-116.97800,BEAR VALLEY DAM
BTH,37.78500,-121.61700,BETHANY FOREBAY
BTV,40.18700,-121.18600,BUTT VALLEY
BUC,37.21300,-119.97000,BUCHANAN DAM
BUL,39.39300,-121.14000,NEW BULLARDS BAR
BUR,37.37700,-120.27500,BURNS CREEK DAM
BUX,39.39300,-121.14000,NEW BULLARDS BAR AUX
BWN,39.45000,-120.65200,BOWMAN LAKE
BWS,39.44100,-120.65800,LAKE SPAULDING S YUBA SYSTEM
CAS,34.51520,-118.61010,CASTAIC
CCH,34.58300,-119.98000,CACHUMA LAKE
CFW,39.05000,-121.31700,BEAR RIVER AT CAMP FAR WEST DAM
CGS,34.24500,-117.96500,COGSWELL RESERVOIR
CHB,37.73000,-122.12200,CHABOT
CHV,37.96700,-119.91700,CHERRY VALLEY DAM
CHY,37.97600,-119.91300,CHERRY LAKE
CKL,39.03900,-122.91200,CLEAR LAKE AT LAKEPORT
CLA,38.95700,-122.64200,CLEAR LK - CACHE CREEK
CLE,40.80100,-122.76200,TRINITY LAKE
CLK,41.92700,-121.07500,CLEAR LK - KLAMATH R
CMB,39.01700,-121.05000,COMBIE LAKE
CMI,38.83300,-120.53300,CAMINO
CMN,38.22500,-121.02100,CAMANCHE RESERVOIR
CNV,37.28300,-119.51700,CRANE VALLEY
COY,39.19700,-123.18600,COYOTE (LAKE MENDOCINO)
CPL,38.70700,-120.04800,CAPLES LAKE (PG&E)
CRW,37.60400,-118.70700,LAKE CROWLEY
CRY,37.53000,-122.36000,LOWER CRYSTAL SPRINGS RESERVOIR
CSI,34.37300,-119.33200,CASITAS
CTG,37.07200,-118.96700,COURTRIGHT (PG&E)
CUY,32.99000,-116.58700,CUYAMACA DAM
CVE,37.49200,-121.81800,CALAVERAS
CYC,37.11800,-121.54900,COYOTE RES-STA CLARA
CYL,37.97600,-119.91300,CHERRY LAKE NR HETCH HETCHY (USGS)
DAV,39.88300,-120.46700,LAKE DAVIS (DWR)
DLV,37.61400,-121.74500,DEL VALLE
DMV,33.67000,-117.06600,DIAMOND VALLEY
DNL,39.32400,-120.23300,DONNER LAKE (STORAGE)
DNN,39.33300,-120.25000,DONNER LAKE (DWR)
DNP,37.70200,-120.42100,DON PEDRO RESERVOIR
DON,38.32900,-119.96000,DONNELLS
DRE,41.54089,-122.37455,DWINNELL RESERVOIR NEAR EDGEWOOD
DWN,41.54100,-122.37600,DWINNELL
ECO,38.83100,-120.03700,ECHO LAKE
EDN,38.90300,-120.60300,STUMPY MEADOWS RESERVOIR(MARK EDSON DAM)
ELC,32.88200,-116.80800,EL CAPITAN DAM
ENB,39.23900,-121.26700,ENGLEBRIGHT (YCWA)
ENG,39.23900,-121.26700,ENGLEBRIGHT (USACE)
ENR,37.97400,-119.88000,LAKE ELEANOR
EPK,39.36700,-122.51700,EAST PARK RESERVOIR
EXC,37.58500,-120.27000,NEW EXCHEQUER-LK MCCLURE
FLR,37.26700,-118.96700,FLORENCE LAKE (SCE)
FMD,39.11200,-120.46800,FRENCH MEADOWS
FOL,38.68300,-121.18300,FOLSOM LAKE
FRD,39.88300,-120.18300,FRENCHMAN DAM
FRL,39.44000,-120.54400,FRENCH LAKE
FRM,37.91500,-120.93500,FARMINGTON (SPILL ELEV 156.5 FT)
GBL,34.52600,-119.68600,GIBRALTAR DAM
GBR,42.20500,-121.13000,GERBER
GDW,37.86280,-120.62970,GOODWIN DAM
GLK,37.75200,-119.14000,GEM  LAKE
GLL,39.03300,-120.36700,GERLE LAKE
GNT,37.86200,-119.10200,GRANT LAKE
HDG,33.04600,-117.12800,LAKE HODGES
HHL,39.05800,-120.40700,HELL HOLE (PCWA)
HHY,37.94800,-119.78700,HETCH HETCHY RES AT HETCH HETCHY (USGS)
HID,37.20000,-119.91700,HIDDEN DAM (HENSLEY)
HMT,33.66600,-116.70500,LAKE HEMET
HNN,38.48200,-122.37200,LAKE HENNESSEY
HNS,33.24000,-116.76200,HENSHAW
HNT,37.22800,-119.22100,HUNTINGTON LAKE (USBR)
HTH,37.95000,-119.78300,HETCH HETCHY
