,Date       Time,RAININCHES
,10/01/2012,0.00
,10/02/2012,0.00
,10/03/2012,0.00
,10/04/2012,0.00
,10/05/2012,0.00
,10/06/2012,0.00
,10/07/2012,0.00
,10/08/2012,0.00
,10/09/2012,0.00
,10/10/2012,0.00
,10/11/2012,0.00
,10/12/2012,0.07
,10/13/2012,0.08
,10/14/2012,0.08
,10/15/2012,0.08
,10/16/2012,0.08
,10/17/2012,0.08
,10/18/2012,0.08
,10/19/2012,0.08
,10/20/2012,0.08
,10/21/2012,0.08
,10/22/2012,0.23
,10/23/2012,0.80
,10/24/2012,0.82
,10/25/2012,0.82
,10/26/2012,0.82
,10/27/2012,0.82
,10/28/2012,0.82
,10/29/2012,0.82
,10/30/2012,0.82
,10/31/2012,0.82
,11/01/2012,0.82
,11/02/2012,0.82
,11/03/2012,0.82
,11/04/2012,0.82
,11/05/2012,0.82
,11/06/2012,0.82
,11/07/2012,0.82
,11/08/2012,0.82
,11/09/2012,1.17
,11/10/2012,1.30
,11/11/2012,1.31
,11/12/2012,1.31
,11/13/2012,1.31
,11/14/2012,1.31
,11/15/2012,1.31
,11/16/2012,1.34
,11/17/2012,2.19
,11/18/2012,3.51
,11/19/2012,3.62
,11/20/2012,3.62
,11/21/2012,3.75
,11/22/2012,3.88
,11/23/2012,3.88
,11/24/2012,3.88
,11/25/2012,3.88
,11/26/2012,3.88
,11/27/2012,3.88
,11/28/2012,3.88
,11/29/2012,4.45
,11/30/2012,5.56
,12/01/2012,7.17
,12/02/2012,7.88
,12/03/2012,9.59
,12/04/2012,9.59
,12/05/2012,9.60
,12/06/2012,10.17
,12/07/2012,10.17
,12/08/2012,10.17
,12/09/2012,10.17
,12/10/2012,10.17
,12/11/2012,10.17
,12/12/2012,10.30
,12/13/2012,10.95
,12/14/2012,10.95
,12/15/2012,11.12
,12/16/2012,11.12
,12/17/2012,11.33
,12/18/2012,12.46
,12/19/2012,12.46
,12/20/2012,12.46
,12/21/2012,12.46
,12/22/2012,13.51
,12/23/2012,14.48
,12/24/2012,16.36
,12/25/2012,16.36
,12/26/2012,17.43
,12/27/2012,17.76
,12/28/2012,17.76
,12/29/2012,17.76
,12/30/2012,17.76
,12/31/2012,17.76
,01/01/2013,17.76
,01/02/2013,17.76
,01/03/2013,17.76
,01/04/2013,17.76
,01/05/2013,17.76
,01/06/2013,17.77
,01/07/2013,17.78
,01/08/2013,17.78
,01/09/2013,17.78
,01/10/2013,18.13
,01/11/2013,18.14
,01/12/2013,18.14
,01/13/2013,18.14
,01/14/2013,18.14
,01/15/2013,18.14
,01/16/2013,18.14
,01/17/2013,18.14
,01/18/2013,18.14
,01/19/2013,18.14
,01/20/2013,18.14
,01/21/2013,18.14
,01/22/2013,18.14
,01/23/2013,18.14
,01/24/2013,18.34
,01/25/2013,18.53
,01/26/2013,18.53
,01/27/2013,18.73
,01/28/2013,18.80
,01/29/2013,18.80
,01/30/2013,18.80
,01/31/2013,18.80
,02/01/2013,18.80
,02/02/2013,18.80
,02/03/2013,18.80
,02/04/2013,18.80
,02/05/2013,18.80
,02/06/2013,18.80
,02/07/2013,18.80
,02/08/2013,19.15
,02/09/2013,19.15
,02/10/2013,19.15
,02/11/2013,19.15
,02/12/2013,19.15
,02/13/2013,19.15
,02/14/2013,19.15
,02/15/2013,19.15
,02/16/2013,19.15
,02/17/2013,19.15
,02/18/2013,19.15
,02/19/2013,19.19
,02/20/2013,19.40
,02/21/2013,19.40
,02/22/2013,19.40
,02/23/2013,19.40
,02/24/2013,19.40
,02/25/2013,19.40
,02/26/2013,19.40
,02/27/2013,19.40
,02/28/2013,19.40
,03/01/2013,19.40
,03/02/2013,19.40
,03/03/2013,19.45
,03/04/2013,19.80
,03/05/2013,19.80
,03/06/2013,20.01
,03/07/2013,20.61
,03/08/2013,20.73
,03/09/2013,21.00
,03/10/2013,21.00
,03/11/2013,21.00
,03/12/2013,21.00
,03/13/2013,21.00
,03/14/2013,21.00
,03/15/2013,21.00
,03/16/2013,21.00
,03/17/2013,21.00
,03/18/2013,21.00
,03/19/2013,21.00
,03/20/2013,21.34
,03/21/2013,21.41
,03/22/2013,21.41
,03/23/2013,21.41
,03/24/2013,21.41
,03/25/2013,21.41
,03/26/2013,21.41
,03/27/2013,21.41
,03/28/2013,21.72
,03/29/2013,22.46
,03/30/2013,22.46
,03/31/2013,23.31
,04/01/2013,24.17
,04/02/2013,24.19
,04/03/2013,24.19
,04/04/2013,24.20
