,PPT INCINCHES,STORAGEAF,OUTFLOWCFS,INFLOWCFS
2004-11-01,0.0,1662763.0,4181.0,3123.0
2004-11-02,0.0,1660077.0,3615.0,1940.0
2004-11-03,0.64,1657670.0,4245.0,2940.0
2004-11-04,0.04,1654805.0,3549.0,2256.0
2004-11-05,0.0,1649729.0,5126.0,2581.0
2004-11-06,0.0,1653512.0,1283.0,3207.0
2004-11-07,0.0,1651850.0,2575.0,1768.0
2004-11-08,0.0,1648071.0,4524.0,2729.0
2004-11-09,0.0,1644848.0,4326.0,2683.0
2004-11-10,0.4,1641172.0,4044.0,2205.0
2004-11-11,0.12,1639336.0,3140.0,2248.0
2004-11-12,0.04,1638143.0,3461.0,2874.0
2004-11-13,0.0,1639244.0,1662.0,2239.0
2004-11-14,0.0,1639611.0,2123.0,2370.0
2004-11-15,0.0,1639336.0,2912.0,2755.0
2004-11-16,0.0,1636309.0,4322.0,2861.0
2004-11-17,0.0,1633012.0,4442.0,2615.0
2004-11-18,0.0,1630451.0,4315.0,2534.0
2004-11-19,0.0,1627253.0,3546.0,2638.0
2004-11-20,0.0,1628897.0,1599.0,2545.0
2004-11-21,0.0,1626066.0,3174.0,1735.0
2004-11-22,0.0,1625154.0,3612.0,2810.0
2004-11-23,0.0,1621326.0,4321.0,2779.0
2004-11-24,0.0,1617232.0,3914.0,2375.0
2004-11-25,0.12,1614779.0,3405.0,1770.0
2004-11-26,0.04,1612872.0,3233.0,2461.0
2004-11-27,1.08,1613780.0,2527.0,2818.0
2004-11-28,0.0,1612872.0,2985.0,2535.0
2004-11-29,0.0,1607435.0,5181.0,2485.0
2004-11-30,0.0,1604002.0,4335.0,2683.0
2004-12-01,0.0,1600657.0,4162.0,3086.0
2004-12-02,0.0,1600567.0,3014.0,2738.0
2004-12-03,0.0,1601198.0,2579.0,2645.0
2004-12-04,0.0,1604179.0,1182.0,2743.0
2004-12-05,0.0,1608431.0,221.0,2332.0
2004-12-06,0.76,1608069.0,2163.0,2091.0
2004-12-07,1.16,1612147.0,2202.0,4319.0
2004-12-08,2.92,1628805.0,2714.0,11160.0
2004-12-09,0.04,1637684.0,3256.0,7595.0
2004-12-10,0.0,1643837.0,2559.0,5618.0
2004-12-11,0.0,1647886.0,2418.0,4472.0
2004-12-12,0.0,1650559.0,2904.0,4357.0
2004-12-13,0.04,1650744.0,3884.0,3887.0
2004-12-14,0.0,1648623.0,3935.0,3157.0
2004-12-15,0.0,1645492.0,3969.0,2215.0
2004-12-16,0.0,1640070.0,4428.0,1611.0
2004-12-17,0.0,1638877.0,4702.0,4165.0
2004-12-18,0.0,1638143.0,2636.0,2232.0
2004-12-19,0.0,1638051.0,3198.0,3204.0
2004-12-20,0.0,1638143.0,3178.0,3237.0
2004-12-21,0.0,1637868.0,3251.0,3069.0
2004-12-22,0.0,1636400.0,3913.0,3589.0
2004-12-23,0.0,1635118.0,4063.0,3101.0
2004-12-24,0.0,1631822.0,3403.0,1792.0
2004-12-25,0.0,1634477.0,1453.0,2801.0
2004-12-26,0.0,1634568.0,3062.0,3164.0
2004-12-27,0.32,1632828.0,3921.0,3166.0
2004-12-28,1.08,1632188.0,5315.0,4861.0
2004-12-29,1.2,1632737.0,4022.0,5317.0
2004-12-30,1.16,1642182.0,3770.0,7545.0
2004-12-31,0.96,1644209.0,4718.0,5741.0
2005-01-01,0.12,1654436.0,0.0,5174.0
2005-01-02,1.12,1666753.0,0.0,6329.0
2005-01-03,0.16,1669168.0,3202.0,4382.0
2005-01-04,0.0,1669540.0,4347.0,4491.0
2005-01-05,0.04,1676430.0,1210.0,4731.0
2005-01-06,0.0,1680629.0,1896.0,3969.0
2005-01-07,1.16,1688769.0,1753.0,5860.0
2005-01-08,0.2,1693647.0,2532.0,5086.0
2005-01-09,0.0,1700701.0,2259.0,5769.0
2005-01-10,0.28,1702398.0,4165.0,5076.0
2005-01-11,0.72,1707870.0,3912.0,6591.0
2005-01-12,0.0,1712977.0,2616.0,5253.0
2005-01-13,0.0,1716009.0,3169.0,4710.0
2005-01-14,0.0,1719708.0,2447.0,4264.0
2005-01-15,0.0,1723793.0,1370.0,3436.0
2005-01-16,0.0,1729887.0,396.0,3523.0
2005-01-17,0.0,1733321.0,1394.0,3954.0
2005-01-18,0.0,1735709.0,3043.0,3476.0
2005-01-19,0.0,1738387.0,2370.0,3725.0
2005-01-20,0.0,1740397.0,3005.0,3979.0
2005-01-21,0.0,1742983.0,2549.0,3820.0
2005-01-22,0.04,1748452.0,1014.0,3820.0
2005-01-23,0.0,1756052.0,0.0,3796.0
2005-01-24,0.0,1758076.0,2800.0,3878.0
2005-01-25,0.04,1761840.0,2111.0,3966.0
2005-01-26,0.52,1773271.0,920.0,6781.0
2005-01-27,0.04,1785806.0,1452.0,7680.0
2005-01-28,0.32,1797034.0,2320.0,8095.0
2005-01-29,0.0,1804776.0,1717.0,5534.0
2005-01-30,0.0,1811558.0,2349.0,5836.0
2005-01-31,0.0,1814709.0,3415.0,4985.0
2005-02-01,0.0,1821518.0,1018.0,4526.0
2005-02-02,0.0,1826761.0,1469.0,4130.0
2005-02-03,0.0,1831717.0,1420.0,4120.0
2005-02-04,0.0,1837180.0,1017.0,3805.0
2005-02-05,0.0,1843351.0,563.0,3615.0
2005-02-06,0.0,1850338.0,59.0,3553.0
2005-02-07,0.0,1856842.0,476.0,3787.0
2005-02-08,0.0,1860852.0,966.0,3073.0
2005-02-09,0.0,1869094.0,535.0,4685.0
2005-02-10,0.0,1876451.0,0.0,3807.0
2005-02-11,0.0,1881098.0,1435.0,3797.0
2005-02-12,0.0,1885348.0,614.0,2853.0
2005-02-13,0.4,1893870.0,0.0,4289.0
2005-02-14,0.08,1905582.0,0.0,5926.0
2005-02-15,0.04,1913351.0,1551.0,5481.0
2005-02-16,0.28,1920219.0,2060.0,5602.0
2005-02-17,0.0,1927002.0,1210.0,5028.0
2005-02-18,0.08,1929781.0,3935.0,5077.0
2005-02-19,0.48,1935866.0,1486.0,4538.0
2005-02-20,0.2,1953164.0,155.0,8918.0
2005-02-21,0.28,1965036.0,979.0,7144.0
2005-02-22,0.0,1976856.0,1615.0,7506.0
2005-02-23,0.0,1986832.0,1963.0,7002.0
2005-02-24,0.0,1993046.0,3296.0,6399.0
2005-02-25,0.0,1999802.0,2565.0,6049.0
2005-02-26,0.0,2004139.0,2506.0,4770.0
2005-02-27,0.76,2014108.0,1394.0,6363.0
2005-02-28,0.0,2023476.0,1785.0,6531.0
2005-03-01,0.8,2032761.0,1479.0,6322.0
2005-03-02,0.32,2045086.0,1755.0,7965.0
2005-03-03,0.0,2056063.0,1224.0,6853.0
2005-03-04,0.0,2064269.0,1329.0,5389.0
2005-03-05,0.0,2074450.0,1405.0,6640.0
2005-03-06,0.0,2079989.0,2891.0,5738.0
2005-03-07,0.0,2086955.0,2134.0,5845.0
2005-03-08,0.0,2094702.0,1813.0,5666.0
2005-03-09,0.0,2104442.0,1142.0,6222.0
2005-03-10,0.0,2113774.0,1885.0,6594.0
2005-03-11,0.0,2126116.0,761.0,7127.0
2005-03-12,0.0,2136846.0,1487.0,6963.0
2005-03-13,0.0,2147947.0,1607.0,7318.0
2005-03-14,0.0,2157192.0,1890.0,6609.0
2005-03-15,0.0,2157304.0,5025.0,5320.0
2005-03-16,0.0,2159424.0,4571.0,5657.0
2005-03-17,0.0,2165235.0,1712.0,4682.0
2005-03-18,0.04,2171505.0,1581.0,4741.0
2005-03-19,0.84,2180822.0,1022.0,5818.0
2005-03-20,0.56,2199878.0,0.0,9580.0
2005-03-21,0.36,2219053.0,296.0,9985.0
2005-03-22,0.56,2251884.0,722.0,17364.0
2005-03-23,0.4,2285284.0,2646.0,19506.0
2005-03-24,0.0,2308835.0,3289.0,15127.0
2005-03-25,0.0,2328550.0,1761.0,11811.0
2005-03-26,0.0,2345423.0,1059.0,9636.0
2005-03-27,0.76,2364640.0,0.0,9931.0
2005-03-28,0.0,2392111.0,1468.0,15222.0
2005-03-29,0.08,2418353.0,724.0,13892.0
2005-03-30,0.0,2441962.0,265.0,12361.0
2005-03-31,0.0,2457576.0,1900.0,9809.0
2005-04-01,0.0,2465164.0,4525.0,8410.0
2005-04-02,0.0,2480513.0,1074.0,8887.0
2005-04-03,0.72,2498030.0,0.0,8937.0
2005-04-04,0.0,2515386.0,605.0,9311.0
2005-04-05,0.0,2530080.0,377.0,7810.0
2005-04-06,0.0,2539451.0,1328.0,6094.0
2005-04-07,0.32,2555248.0,914.0,9036.0
2005-04-08,0.64,2574648.0,733.0,10512.0
2005-04-09,0.0,2593009.0,0.0,9421.0
2005-04-10,0.0,2609548.0,0.0,8493.0
2005-04-11,0.0,2622959.0,873.0,7530.0
2005-04-12,0.0,2633980.0,1357.0,7058.0
2005-04-13,0.0,2648767.0,587.0,8064.0
2005-04-14,0.0,2658572.0,1647.0,6731.0
2005-04-15,0.0,2669955.0,1090.0,6853.0
2005-04-16,0.0,2680602.0,959.0,6474.0
2005-04-17,0.0,2692434.0,898.0,6961.0
2005-04-18,0.0,2706264.0,526.0,7585.0
2005-04-19,0.0,2717913.0,1034.0,7027.0
2005-04-20,0.0,2730387.0,400.0,6744.0
2005-04-21,0.0,2740790.0,1112.0,6468.0
2005-04-22,0.0,2750824.0,1545.0,6710.0
2005-04-23,0.2,2764862.0,363.0,7534.0
2005-04-24,0.0,2779616.0,330.0,7869.0
2005-04-25,0.0,2792554.0,741.0,7306.0
2005-04-26,0.0,2804195.0,1128.0,7001.0
2005-04-27,0.0,2814794.0,1921.0,7334.0
2005-04-28,0.0,2825826.0,2185.0,7800.0
2005-04-29,0.0,2834457.0,3222.0,7569.0
2005-04-30,0.0,2841886.0,3541.0,7447.0
2005-05-01,0.0,2854894.0,779.0,7455.0
2005-05-02,0.0,2863996.0,2651.0,7355.0
2005-05-03,0.0,2870801.0,3541.0,7160.0
2005-05-04,0.12,2874753.0,5690.0,7844.0
2005-05-05,0.16,2884583.0,4302.0,9220.0
2005-05-06,0.04,2900605.0,2171.0,10300.0
2005-05-07,0.0,2915176.0,2092.0,9509.0
2005-05-08,1.24,2936021.0,811.0,11480.0
2005-05-09,0.4,2965464.0,4773.0,19796.0
2005-05-10,0.0,2986002.0,3736.0,14010.0
2005-05-11,0.0,3005935.0,2929.0,13210.0
2005-05-12,0.0,3017489.0,5278.0,11134.0
2005-05-13,0.0,3033604.0,2667.0,10899.0
2005-05-14,0.0,3051912.0,1426.0,10701.0
2005-05-15,0.08,3073728.0,426.0,11623.0
2005-05-16,0.16,3101692.0,2918.0,17022.0
2005-05-17,0.12,3120434.0,4302.0,13818.0
2005-05-18,1.56,3172464.0,3747.0,30740.0
2005-05-19,0.08,3264605.0,6993.0,52965.0
2005-05-20,0.0,3310496.0,7050.0,30158.0
2005-05-21,0.0,3343319.0,4585.0,21127.0
2005-05-22,0.0,3370874.0,3962.0,17992.0
2005-05-23,0.0,3390305.0,6445.0,16360.0
2005-05-24,0.0,3407661.0,5739.0,14655.0
2005-05-25,0.0,3422765.0,5870.0,13626.0
2005-05-26,0.0,3435594.0,6400.0,13178.0
2005-05-27,0.0,3447682.0,6305.0,12515.0
2005-05-28,0.0,3461511.0,3809.0,10928.0
2005-05-29,0.0,3480845.0,760.0,9909.0
2005-05-30,0.0,3491793.0,3329.0,8890.0
2005-05-31,0.0,3495082.0,6399.0,8180.0
2005-06-01,0.0,3499471.0,6652.0,9001.0
2005-06-02,0.0,3500569.0,6101.0,6841.0
2005-06-03,0.0,3505905.0,4944.0,7818.0
2005-06-04,0.0,3509990.0,5954.0,8160.0
2005-06-05,0.0,3516280.0,2299.0,5732.0
2005-06-06,0.0,3521161.0,5053.0,7534.0
2005-06-07,0.0,3520688.0,5858.0,5905.0
2005-06-08,0.68,3519428.0,7143.0,6623.0
2005-06-09,0.04,3523524.0,7304.0,9374.0
2005-06-10,0.0,3519271.0,7820.0,5730.0
2005-06-11,0.0,3517854.0,7386.0,6959.0
2005-06-12,0.0,3527307.0,2357.0,7217.0
2005-06-13,0.0,3526519.0,6439.0,6147.0
2005-06-14,0.08,3526046.0,5831.0,5794.0
2005-06-15,0.0,3528727.0,4140.0,5741.0
2005-06-16,0.52,3526519.0,6027.0,5004.0
2005-06-17,0.12,3521161.0,8988.0,6318.0
2005-06-18,0.0,3516123.0,8340.0,5924.0
2005-06-19,0.0,3512033.0,7904.0,5818.0
2005-06-20,0.0,3503550.0,7574.0,3475.0
2005-06-21,0.0,3499158.0,6219.0,4228.0
2005-06-22,0.0,3496806.0,5284.0,4100.0
2005-06-23,0.0,3492262.0,6357.0,4233.0
2005-06-24,0.0,3489288.0,5196.0,3608.0
2005-06-25,0.0,3484282.0,5322.0,3262.0
2005-06-26,0.0,3488662.0,1971.0,4416.0
2005-06-27,0.0,3489914.0,3709.0,4449.0
2005-06-28,0.0,3488192.0,3695.0,2972.0
2005-06-29,0.0,3483033.0,5899.0,3359.0
2005-06-30,0.0,3480532.0,5186.0,3861.0
2005-07-01,0.0,3478502.0,5289.0,4700.0
2005-07-02,0.0,3473663.0,4636.0,2486.0
2005-07-03,0.0,3471168.0,5289.0,4144.0
2005-07-04,0.0,3466804.0,4817.0,2900.0
2005-07-05,0.0,3462912.0,5216.0,3384.0
2005-07-06,0.0,3454047.0,6706.0,2530.0
2005-07-07,0.0,3445976.0,6823.0,2846.0
2005-07-08,0.0,3441634.0,5486.0,3551.0
2005-07-09,0.0,3437766.0,4490.0,2464.0
2005-07-10,0.0,3430953.0,4993.0,1983.0
2005-07-11,0.0,3423073.0,7156.0,3275.0
2005-07-12,0.0,3411048.0,7836.0,2053.0
2005-07-13,0.0,3399359.0,8545.0,2792.0
2005-07-14,0.0,3389385.0,8517.0,3727.0
2005-07-15,0.0,3381115.0,6832.0,2883.0
2005-07-16,0.0,3370569.0,7527.0,2520.0
2005-07-17,0.0,3366601.0,5073.0,3257.0
2005-07-18,0.0,3355783.0,8357.0,3194.0
2005-07-19,0.0,3345596.0,7994.0,3126.0
2005-07-20,0.0,3336797.0,8208.0,3875.0
2005-07-21,0.0,3326803.0,6760.0,1859.0
2005-07-22,0.0,3317888.0,7223.0,2957.0
2005-07-23,0.0,3317132.0,3414.0,3246.0
2005-07-24,0.0,3312456.0,5072.0,2977.0
2005-07-25,0.0,3306730.0,6367.0,3687.0
2005-07-26,0.0,3295599.0,7826.0,2354.0
2005-07-27,0.0,3286294.0,7532.0,3204.0
2005-07-28,0.0,3277157.0,8034.0,3483.0
2005-07-29,0.0,3271624.0,4996.0,2353.0
2005-07-30,0.0,3263412.0,7230.0,3277.0
2005-07-31,0.0,3255959.0,6913.0,3439.0
2005-08-01,0.0,3248815.0,6792.0,3348.0
2005-08-02,0.0,3242722.0,5886.0,3082.0
2005-08-03,0.0,3237527.0,5911.0,3512.0
2005-08-04,0.0,3231024.0,6567.0,3486.0
2005-08-05,0.0,3222592.0,6591.0,2621.0
2005-08-06,0.0,3217272.0,6128.0,3656.0
2005-08-07,0.0,3208718.0,6556.0,3006.0
